Respondent,LanguageWorkedWith
148,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;Perl
149,HTML/CSS;JavaScript;PHP;Python;SQL
150,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R
151,HTML/CSS;Java;JavaScript;TypeScript
152,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript
153,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Perl;PHP;Python;SQL
154,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL;TypeScript
155,HTML/CSS;JavaScript;PHP;TypeScript
156,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
157,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
158,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Python;SQL
159,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
160,HTML/CSS;JavaScript;PHP
161,C#;HTML/CSS;JavaScript;SQL;TypeScript
162,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;Python
163,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Rust;TypeScript
164,Bash/Shell/PowerShell;Python
165,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
166,HTML/CSS;JavaScript;PHP;SQL
167,Bash/Shell/PowerShell
168,C#;HTML/CSS;JavaScript;PHP;Python;SQL
169,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Scala;SQL;TypeScript
170,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Perl;PHP;SQL
171,C#;HTML/CSS;JavaScript;PHP;SQL
172,C;C++;Java;Objective-C;Python
173,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
174,Bash/Shell/PowerShell;C;C++
175,Objective-C;Swift
176,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
177,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;TypeScript
178,HTML/CSS;Python;SQL
179,HTML/CSS;JavaScript;Objective-C;Ruby;Swift
180,Bash/Shell/PowerShell;C;C#;Go;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
181,HTML/CSS;JavaScript;Ruby
182,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;JavaScript;Python;SQL
183,Bash/Shell/PowerShell;C#;Java;JavaScript;Rust;TypeScript
184,Bash/Shell/PowerShell;Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL
185,Python;SQL
186,Assembly;C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL
187,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
188,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript
189,C;C++;HTML/CSS;JavaScript;Julia;Python;R;Rust;SQL
190,HTML/CSS;Python
191,Java;JavaScript;Objective-C;Swift
192,Assembly;Bash/Shell/PowerShell;C;C++;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript
193,Go;Kotlin;Python;Swift
194,Assembly;Bash/Shell/PowerShell;C;C++;Scala
195,C#;C++;HTML/CSS;Java;JavaScript;Python
196,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;SQL
197,C#;HTML/CSS;JavaScript;Python;SQL
198,C#;C++;HTML/CSS;JavaScript;Python;SQL
199,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;TypeScript
200,R
201,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA
202,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;Python;Ruby;Swift
203,C#;JavaScript;SQL;TypeScript
204,Bash/Shell/PowerShell;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;VBA
205,C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
206,Assembly;C;Haskell;Java;Python;R
207,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
208,Go;Java;JavaScript
209,Bash/Shell/PowerShell;Go;Python
210,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL;TypeScript
211,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL
212,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;VBA
213,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;SQL
214,Go;HTML/CSS;JavaScript;Python;TypeScript
215,C#;Java;Kotlin;Python;SQL
216,Bash/Shell/PowerShell;C++;Go;HTML/CSS;Java;JavaScript;Python;SQL
217,HTML/CSS;Java;Ruby;SQL
218,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL
219,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Python;R;Scala;SQL
220,HTML/CSS;JavaScript;Python;Ruby;SQL
221,C#;HTML/CSS;JavaScript;TypeScript
222,C#;HTML/CSS;Java;JavaScript;Kotlin;SQL
223,C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
224,C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
225,Java;JavaScript;Python
226,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Rust;TypeScript
227,Go;HTML/CSS;Java;Kotlin;Python;TypeScript
228,C;HTML/CSS;JavaScript;Rust
229,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL
230,C;C++;HTML/CSS;Java;JavaScript;Python;VBA
231,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
232,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
233,C;C++;Python
234,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
235,C;C#;Java;JavaScript;PHP
236,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python
237,Bash/Shell/PowerShell;C#;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Scala;SQL;Swift
238,Bash/Shell/PowerShell;Perl;Python;SQL;VBA
239,HTML/CSS;JavaScript
240,HTML/CSS;JavaScript;Ruby
241,TypeScript
242,HTML/CSS;Java;JavaScript;PHP;SQL
243,C;C++;Rust
244,HTML/CSS;JavaScript
245,Bash/Shell/PowerShell;Java;Kotlin;SQL
246,Bash/Shell/PowerShell;Python;SQL
247,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
248,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;SQL
249,C#;HTML/CSS;JavaScript;PHP;SQL
250,C#;HTML/CSS;JavaScript;Objective-C;SQL;Swift;TypeScript
251,Java;Python
252,C#;JavaScript;TypeScript
253,C#;HTML/CSS;Java;JavaScript;SQL
254,C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL
255,C#;JavaScript
256,C;C#;C++;Dart;HTML/CSS;JavaScript;SQL;TypeScript
257,C#;Java;JavaScript;SQL
258,C;C#;C++;JavaScript;Python;SQL
259,Assembly;C;C#;C++;Haskell;Java
260,Bash/Shell/PowerShell;Haskell;HTML/CSS;JavaScript;Python;SQL
261,C#;HTML/CSS;JavaScript;SQL;TypeScript
262,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;VBA
263,Python;R;SQL
264,Bash/Shell/PowerShell;C#;JavaScript;Kotlin;SQL;Swift;TypeScript
265,HTML/CSS;JavaScript;Python;SQL;TypeScript
266,HTML/CSS;Java;JavaScript;PHP;SQL
267,Bash/Shell/PowerShell;C#;SQL
268,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
269,C;JavaScript;Python;R;SQL;VBA
270,Assembly;C#;C++;Java;SQL
271,Bash/Shell/PowerShell;C#
272,HTML/CSS;JavaScript;TypeScript
273,Java
274,HTML/CSS;JavaScript;PHP;SQL
275,Bash/Shell/PowerShell;C++;Python;SQL
276,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python
277,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript
278,C#;HTML/CSS;JavaScript;SQL;TypeScript
279,Java
280,Go;HTML/CSS;Java;JavaScript;Python;SQL;Swift
281,C++;HTML/CSS;Java;Python;Swift
282,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Python;TypeScript
283,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
284,Bash/Shell/PowerShell;Python;R
285,C;C#;C++;Haskell;Java;JavaScript;PHP;Ruby;SQL;TypeScript
286,Java;PHP
287,C#;HTML/CSS;JavaScript;Python;SQL;VBA
288,HTML/CSS;JavaScript;PHP
289,C#;Python
290,C#;C++;HTML/CSS;JavaScript;Python;SQL;VBA
291,Swift
292,C#;Java;JavaScript;SQL
293,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL
294,Bash/Shell/PowerShell;Go;Java
295,HTML/CSS;Java;JavaScript;PHP;SQL
296,HTML/CSS;JavaScript;PHP;SQL
297,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;TypeScript
298,Bash/Shell/PowerShell;Java;Python;Scala;SQL
299,HTML/CSS;Java;JavaScript
300,Bash/Shell/PowerShell;C#;HTML/CSS;SQL
301,HTML/CSS;JavaScript;Python;SQL
302,HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL
303,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
304,Bash/Shell/PowerShell;C++;Java;JavaScript;Python
305,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL
306,HTML/CSS;JavaScript;Ruby;SQL
307,Java;JavaScript;Scala
308,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;Kotlin;Python;Swift;TypeScript
309,JavaScript;SQL
311,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL
312,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript
313,Go;JavaScript;PHP;Swift
314,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL
315,Assembly;Python;SQL;VBA
316,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Ruby;SQL
317,C;C#;C++;Python
318,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;JavaScript;Perl;Python;SQL
319,Java
320,HTML/CSS;JavaScript;PHP;SQL;TypeScript
321,Bash/Shell/PowerShell;HTML/CSS;Java;SQL
322,Bash/Shell/PowerShell;Java;JavaScript;SQL
323,C#;C++;JavaScript;Python
324,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;TypeScript
325,Assembly;HTML/CSS;JavaScript;PHP;Python;SQL
326,HTML/CSS;Java;JavaScript;SQL;TypeScript
327,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL
328,C#;HTML/CSS;JavaScript;Perl;PHP;Python;SQL
329,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Perl;PHP;Ruby;SQL;TypeScript
330,HTML/CSS;JavaScript
331,Bash/Shell/PowerShell;C++;Dart;HTML/CSS;Java;Python
332,JavaScript;Python;R;SQL
333,Bash/Shell/PowerShell;Python;Ruby;SQL
334,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
335,C#;HTML/CSS;JavaScript;SQL;TypeScript
337,C;C#;C++;HTML/CSS;JavaScript;Python;SQL
338,Assembly;Bash/Shell/PowerShell;C;Perl;PHP;Python
339,Bash/Shell/PowerShell;C++;Python;Ruby;Rust
340,C#;HTML/CSS;JavaScript
341,Bash/Shell/PowerShell;Perl;Python;SQL
342,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;VBA
343,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL
344,C;C#;Dart;HTML/CSS;Java;JavaScript;Ruby
345,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
346,HTML/CSS;JavaScript
347,Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Python;R;Rust;Scala;SQL;TypeScript
348,Dart;HTML/CSS;Java;JavaScript;Kotlin;TypeScript
349,C#;HTML/CSS;JavaScript;Python;SQL
350,HTML/CSS;JavaScript;Ruby;TypeScript
351,C++;HTML/CSS;Java;Python
352,C#;HTML/CSS;JavaScript;SQL
353,C;HTML/CSS;JavaScript;TypeScript
354,Bash/Shell/PowerShell;Java;JavaScript;Python;Ruby;SQL
355,Assembly;Bash/Shell/PowerShell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python;Ruby;Rust
356,HTML/CSS;JavaScript;Python;TypeScript
357,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;TypeScript
358,Java;JavaScript;Kotlin
359,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
360,C;C#;Objective-C;Ruby;SQL
361,Assembly;Bash/Shell/PowerShell;C;C++;Dart;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL
362,Assembly;Bash/Shell/PowerShell;C;C#;C++;Python
363,HTML/CSS;JavaScript;PHP;SQL
364,HTML/CSS;Java
365,C#;HTML/CSS
366,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL
367,C#;HTML/CSS;JavaScript;SQL
368,C#;HTML/CSS;JavaScript;Python;SQL
369,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript
370,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Objective-C;Python;R;Ruby;TypeScript
371,Bash/Shell/PowerShell;C#
372,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL
373,C#;C++;HTML/CSS;TypeScript
374,Bash/Shell/PowerShell;HTML/CSS;Python
375,HTML/CSS;JavaScript;PHP;SQL;TypeScript
376,C#;HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript
377,SQL;VBA
378,Python
379,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift
380,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;Scala
381,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;VBA
382,HTML/CSS;JavaScript;SQL;TypeScript
383,C;C#;HTML/CSS;Java;JavaScript;Kotlin;Swift
384,C#;HTML/CSS;JavaScript
385,HTML/CSS;JavaScript;PHP;SQL
386,Java;Python
387,C;C#;C++
388,HTML/CSS;JavaScript;PHP
389,C#;HTML/CSS;JavaScript;PHP;Python;SQL
390,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript;VBA
391,C;C++;Python;SQL
392,C#;HTML/CSS;JavaScript;PHP;SQL
393,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL
394,C#;HTML/CSS;JavaScript;PHP;TypeScript
395,C#
396,JavaScript
397,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL
398,HTML/CSS;JavaScript;PHP;SQL
399,Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL
400,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;VBA
401,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
402,Python
403,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL
404,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL
405,Bash/Shell/PowerShell;C++;Java;JavaScript;Kotlin;Python;Rust
406,C#;C++;HTML/CSS;JavaScript;Python;VBA
407,C#;HTML/CSS;Python;SQL
408,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
409,C++;Python
410,C;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL
411,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
412,Python;R;Scala
413,HTML/CSS;JavaScript;Python;SQL
414,C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
415,C#;HTML/CSS;JavaScript;SQL;TypeScript
417,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
418,C;Java
419,Java;Perl;Scala
420,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript
421,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
422,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;JavaScript;Python
423,Bash/Shell/PowerShell;C++;Python
424,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL
425,HTML/CSS;JavaScript;Python;Ruby;TypeScript
426,Assembly;C;C#;Dart;HTML/CSS;Java;JavaScript;Python;Ruby;Rust;SQL;TypeScript
427,C#;HTML/CSS;JavaScript;PHP;SQL
428,Assembly;Bash/Shell/PowerShell;C;C#;C++;Go;Java;JavaScript;PHP;SQL;TypeScript
429,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
430,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;SQL
431,Bash/Shell/PowerShell;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift
432,C#;Dart;Go;HTML/CSS;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift
433,Java;Kotlin;SQL
434,Python;R
435,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
436,Java;Kotlin
438,HTML/CSS;Java;JavaScript;SQL;TypeScript
439,C#;HTML/CSS;JavaScript;SQL
440,HTML/CSS;JavaScript;Python;SQL;TypeScript
442,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Rust;SQL
443,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL
444,Assembly;Bash/Shell/PowerShell;C;SQL
445,HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript
446,Bash/Shell/PowerShell;C++;JavaScript;Python;TypeScript
447,C#;C++;HTML/CSS;JavaScript;PHP;SQL
449,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript
450,HTML/CSS;Java;JavaScript;SQL;TypeScript;VBA
451,Java;Python
452,Bash/Shell/PowerShell;HTML/CSS;Perl;PHP;Python;SQL
453,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL
454,C#;HTML/CSS;JavaScript;Kotlin;Python;Ruby;SQL
455,Bash/Shell/PowerShell;C#;C++;HTML/CSS;PHP;Python;SQL
456,Java;Scala;SQL
457,Bash/Shell/PowerShell;C++;Java;Kotlin;Python
458,JavaScript;PHP;SQL;TypeScript
459,HTML/CSS;JavaScript;TypeScript
460,C#;HTML/CSS;JavaScript;SQL;TypeScript
461,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;Scala;SQL
462,Assembly;C;C++;Haskell;Python
463,C;C#;C++;Python
464,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby
465,Bash/Shell/PowerShell;C++;Python
466,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Julia;Perl;PHP;Python;R;Ruby;SQL
467,C++;HTML/CSS;Java;Python;SQL
468,HTML/CSS;JavaScript;Kotlin;SQL;TypeScript
469,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
470,C#;HTML/CSS;JavaScript
471,Java;JavaScript;Scala;SQL
472,HTML/CSS;Java;JavaScript;SQL
473,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL
474,Java;SQL
